company_name,customer_name,company_high_tech_market_segment,company_founded,company_estimated_revenue_range,company_number_of_employees,company_total_funding_amount,company_number_of_investors,company_country,company_number_of_portfolio,customer_high_tech_market_segment,customer_founded,customer_estimated_revenue_range,customer_number_of_employees,customer_total_funding_amount,customer_number_of_investors,customer_country,customer_number_of_portfolio,label
Wiliot,DFMSim,semiconductor,2017-01-01,$1M to $10M,11-50,0.0,8.0,Israel,0.0,semiconductor,2005-01-01,$1M,11-50,0.0,1.0,United States,0.0,0
Jeeva Wireless,Oxford PV,semiconductor,2015-01-01,$1M,11-50,0.0,1.0,United States,0.0,semiconductor,2010-01-01,$10M to $50M,51-100,0.0,10.0,United Kingdom,0.0,0
EoPlex Technologies,Think Silicon S.A.,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2007-06-01,$1M to $10M,11-50,0.0,2.0,Greece,0.0,0
BitWave,Farsens,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,1.0,Spain,0.0,0
Liquid X,Intel,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,0
Oryx Vision,A-1 Machine Manufacturing,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,6.0,Israel,0.0,semiconductor,1977-01-01,$50M to $100M,01-10,0.0,1.0,United States,0.0,0
SatixFy,Usound,semiconductor,2012-01-01,$10M to $50M,101-500,0.0,2.0,Israel,0.0,electrical & electronics,2014-01-01,$1M to $10M,51-100,0.0,3.0,Austria,0.0,0
Nanotron Technologies,Eblana Photonics,semiconductor,1991-01-01,$1M to $10M,11-50,0.0,5.0,Germany,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,0
Silicon Wave,Luxera,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Scientific Visual,BiTMICRO Networks Inc,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,1.0,Switzerland,0.0,semiconductor,1995-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,0
TriLumina Corp,Sentons,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
e-peas,Poly-Flow Engineering,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,7.0,Belgium,0.0,semiconductor,2005-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
Ferfics,Paragraf,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,0
Polymer Holding Corporation,Liquid X,semiconductor,1979-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Reduced Energy Microsystems,CLK Design Automation,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,3.0,United States,0.0,0
Ferroelectric Memory Company,Brolis Semiconductors,semiconductor,2016-01-01,$1M to $10M,01-10,0.0,3.0,Germany,0.0,semiconductor,2011-08-09,$1M to $10M,11-50,0.0,1.0,Lithuania,0.0,0
Lytid,Breadware Inc,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,France,0.0,semiconductor,2015-09-01,$1M,11-50,0.0,5.0,United States,0.0,0
Matrix Industries,Uhnder,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,0
Wave Computing,Paragraf,semiconductor,2010-12-12,$10M to $50M,101-500,0.0,4.0,United States,0.0,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,0
BitWave,Poly-Flow Engineering,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2005-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
TimeLab,GCT Semiconductor,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,0
EpiGaN,Jeeva Wireless,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,2015-01-01,$1M,11-50,0.0,1.0,United States,0.0,0
DensBits Technologies,TeamLinux,semiconductor,2007-01-01,$10M to $50M,51-100,0.0,3.0,Israel,0.0,semiconductor,1993-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,0
SponDoolies-Tech,CEKO Sensors ApS,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,Denmark,0.0,0
Alien Technology,Peraso Technologies,semiconductor,1994-01-01,$10M to $50M,101-500,0.0,18.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,6.0,Canada,0.0,0
Tempo Automation,Reveal Design Automation,semiconductor,2013-07-01,$1M to $10M,101-500,0.0,17.0,United States,0.0,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
Tehuti Networks,CEKO Sensors ApS,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Israel,0.0,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,Denmark,0.0,0
GreenRay Solar,Indice Semiconductor,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Chelsio Communications,BlueShift Technologies,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,13.0,United States,0.0,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,0
eoSemi,SponDoolies-Tech,semiconductor,2005-01-01,$1M to $10M,01-10,0.0,4.0,United Kingdom,0.0,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,0
Celeno,Tortuga logic,semiconductor,2005-01-01,$10M to $50M,51-100,0.0,12.0,Israel,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,4.0,United States,0.0,0
Motia,AnDAPT,semiconductor,2000-01-01,$1M to $10M,01-10,0.0,5.0,United States,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
4wave,Lattice Power,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2006-01-01,$100M to $500M,501-1000,0.0,7.0,China,0.0,0
Unispectral,NantWorks,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,4.0,Israel,0.0,semiconductor,2010-01-01,$100M to $500M,51-100,0.0,1.0,United States,0.0,0
Usound,DFMSim,electrical & electronics,2014-01-01,$1M to $10M,51-100,0.0,3.0,Austria,0.0,semiconductor,2005-01-01,$1M,11-50,0.0,1.0,United States,0.0,0
Cambridge Consultants,Tela Innovations,semiconductor,1960-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
OmniTek,BinaryWave,semiconductor,1991-01-01,$1M to $10M,11-50,0.0,1.0,United Kingdom,0.0,semiconductor,2010-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
GreenRay Solar,Sigasi,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2008-01-21,$1M,01-10,0.0,1.0,Belgium,0.0,0
Kandou Bus SA,Lytid,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,10.0,Switzerland,0.0,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,France,0.0,0
Keyotee,TeraView,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2001-01-01,$10M to $50M,11-50,0.0,9.0,United Kingdom,0.0,0
Octasic,FocalSpec Ltd,semiconductor,1998-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,0
Viviota,Scintera Networks,semiconductor,2016-05-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2001-01-01,$10M to $50M,5001-10000,0.0,6.0,United States,0.0,0
Silicon Radar,Quintic,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,3.0,Germany,0.0,semiconductor,2006-09-29,$1M to $10M,51-100,0.0,3.0,United States,0.0,0
Bantam Tools,XSI Semi Conductors,semiconductor,2013-01-01,$1M,11-50,0.0,6.0,United States,0.0,semiconductor,2012-01-01,$10M to $50M,11-50,0.0,1.0,India,0.0,0
GrAI Matter Labs,Orthogonal,semiconductor,2016-01-01,$1M,11-50,0.0,3.0,France,0.0,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
TeamLinux,Rockley Photonics,semiconductor,1993-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,semiconductor,2013-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
SmartKem,Kionix,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,semiconductor,2000-01-01,$50M to $100M,101-500,0.0,2.0,United States,0.0,0
Viviota,Bosch Rexroth Corporation,semiconductor,2016-05-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2001-05-01,$10M to $50M,10001+,0.0,1.0,United States,0.0,0
Lattice Power,Ion Beam Services,semiconductor,2006-01-01,$100M to $500M,501-1000,0.0,7.0,China,0.0,semiconductor,1987-01-01,$1M,51-100,0.0,2.0,France,0.0,0
Scintera Networks,Vectron International,semiconductor,2001-01-01,$10M to $50M,5001-10000,0.0,6.0,United States,0.0,semiconductor,1966-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,0
Kandou Bus SA,Tela Innovations,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,10.0,Switzerland,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
Nanotronics Imaging,Sigasi,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,semiconductor,2008-01-21,$1M,01-10,0.0,1.0,Belgium,0.0,0
Anokiwave,FSI International,semiconductor,1999-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,1973-01-01,more. ,101-500,0.0,1.0,United States,0.0,0
Tempow,eSilicon,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,0
Blu Wireless,DensBits Technologies,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,11.0,United Kingdom,0.0,semiconductor,2007-01-01,$10M to $50M,51-100,0.0,3.0,Israel,0.0,0
Palma Ceia SemiDesign  Inc.,Impedans,semiconductor,2012-04-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,Ireland,0.0,0
Silicon Wave,MSG Lithoglas,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,semiconductor,2010-12-13,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Ascatron,Rockley Photonics,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,3.0,Sweden,0.0,semiconductor,2013-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
Nanotronics Imaging,XMOS,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,51-100,0.0,12.0,United Kingdom,0.0,0
Tempo Automation,Ferroelectric Memory Company,semiconductor,2013-07-01,$1M to $10M,101-500,0.0,17.0,United States,0.0,semiconductor,2016-01-01,$1M to $10M,01-10,0.0,3.0,Germany,0.0,0
MTPV,Palma Ceia SemiDesign  Inc.,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,9.0,United States,0.0,semiconductor,2012-04-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
BlueShift Technologies,CNEX Labs,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2013-01-01,$1M to $10M,101-500,0.0,13.0,United States,0.0,0
Semitech Semiconductor,GCT Semiconductor,semiconductor,2010-05-01,$1M to $10M,11-50,0.0,3.0,Australia,0.0,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,0
Widetronix,Eagleyard Photonics GmbH,semiconductor,2003-01-01,$1M,01-10,0.0,3.0,United States,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Kyma Technologies,Lynx Software Technologies,semiconductor,1998-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
Telink,Reduced Energy Microsystems,semiconductor,2010-01-01,$1M,11-50,0.0,1.0,China,0.0,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,0
HexaTech,TRINAMIC Motion Control,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,1998-09-01,$10M to $50M,11-50,0.0,1.0,Germany,0.0,0
Plunify,Tehuti Networks,semiconductor,2009-11-09,$1M to $10M,11-50,0.0,3.0,Singapore,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Israel,0.0,0
AGLOGIC,Intel,semiconductor,1995-02-22,$1M to $10M,11-50,0.0,2.0,China,0.0,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,0
TriLumina Corp,Fortemedia,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,1996-01-01,$10M to $50M,51-100,0.0,2.0,United States,0.0,0
A-1 Machine Manufacturing,Vectron International,semiconductor,1977-01-01,$50M to $100M,01-10,0.0,1.0,United States,0.0,semiconductor,1966-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,0
Breadware Inc,Phoseon Technology,semiconductor,2015-09-01,$1M,11-50,0.0,5.0,United States,0.0,semiconductor,2002-01-01,$10M to $50M,51-100,0.0,4.0,United States,0.0,0
Silicon Cloud,Revasum,semiconductor,2013-08-01,$1M to $10M,01-10,0.0,3.0,Singapore,0.0,semiconductor,2016-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
Octasic,Luxera,semiconductor,1998-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
LucidPort Technology,Open Silicon,semiconductor,2004-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,0
Multiphoton Optics GmbH,Critical Links,semiconductor,2013-09-13,$1M to $10M,01-10,0.0,5.0,Germany,0.0,semiconductor,2006-11-01,$1M to $10M,101-500,0.0,4.0,United States,0.0,0
Synapse,Brolis Semiconductors,semiconductor,2003-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,semiconductor,2011-08-09,$1M to $10M,11-50,0.0,1.0,Lithuania,0.0,0
Kyma Technologies,EoPlex Technologies,semiconductor,1998-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Reduced Energy Microsystems,Lyncean Technologies,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
R2 Semiconductor,Matrix Industries,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
Singulus Technologies AG,Silicon Genesis,semiconductor,1996-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,semiconductor,1997-01-01,$10M to $50M,11-50,0.0,6.0,United States,0.0,0
TimeSys Corporation,Fortemedia,semiconductor,1996-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,1996-01-01,$10M to $50M,51-100,0.0,2.0,United States,0.0,0
EoPlex Technologies,Phoseon Technology,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2002-01-01,$10M to $50M,51-100,0.0,4.0,United States,0.0,0
Usound,Netronome Systems,electrical & electronics,2014-01-01,$1M to $10M,51-100,0.0,3.0,Austria,0.0,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,0
GreenRay Solar,Lynx Software Technologies,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
EpiGaN,Sentons,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
Intel,CISSOID,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,0
Lynx Software Technologies,Ferfics,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,0
CNEX Labs,TimeLab,semiconductor,2013-01-01,$1M to $10M,101-500,0.0,13.0,United States,0.0,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Sigasi,Syndiant,semiconductor,2008-01-21,$1M,01-10,0.0,1.0,Belgium,0.0,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
AGLOGIC,HexaTech,semiconductor,1995-02-22,$1M to $10M,11-50,0.0,2.0,China,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Cleanpart Group,CEKO Sensors ApS,semiconductor,1998-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,Denmark,0.0,0
Vectron International,ENrG,semiconductor,1966-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Uhnder,MSG Lithoglas,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2010-12-13,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
A-1 Machine Manufacturing,4wave,semiconductor,1977-01-01,$50M to $100M,01-10,0.0,1.0,United States,0.0,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Humavox Wireless Charging,Alien Technology,semiconductor,2010-07-01,$1M to $10M,11-50,0.0,1.0,Israel,0.0,semiconductor,1994-01-01,$10M to $50M,101-500,0.0,18.0,United States,0.0,0
CLK Design Automation,Excillum,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,3.0,United States,0.0,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,1.0,Sweden,0.0,0
BinaryWave,XMOS,semiconductor,2010-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,51-100,0.0,12.0,United Kingdom,0.0,0
Avogy,Solaria,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,semiconductor,1963-01-01,$10M to $50M,51-100,0.0,15.0,United States,0.0,0
ACME Advanced Materials,Wiliot,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,2017-01-01,$1M to $10M,11-50,0.0,8.0,Israel,0.0,0
Kionix,Qualtera,semiconductor,2000-01-01,$50M to $100M,101-500,0.0,2.0,United States,0.0,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,France,0.0,0
CEKO Sensors ApS,Beneq,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,Denmark,0.0,semiconductor,2005-01-01,$1M to $10M,51-100,0.0,3.0,Finland,0.0,0
FocalSpec Ltd,Movellus,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,semiconductor,2014-04-02,$1M,01-10,0.0,3.0,United States,0.0,0
Particle,Peraso Technologies,semiconductor,2012-11-01,$1M to $10M,101-500,0.0,19.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,6.0,Canada,0.0,0
R2 Semiconductor,Silicon Wave,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,0
Brite Semiconductor,EoPlex Technologies,semiconductor,2008-01-01,$50M to $100M,51-100,0.0,4.0,China,0.0,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
AltraTech,Lynx Software Technologies,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,4.0,Ireland,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
Acconeer,Kyma Technologies,semiconductor,2012-01-01,$1M to $10M,11-50,0.0,4.0,Sweden,0.0,semiconductor,1998-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Tactus Technology,Sheaumann Laser,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Humavox Wireless Charging,R2 Semiconductor,semiconductor,2010-07-01,$1M to $10M,11-50,0.0,1.0,Israel,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
e-peas,Breadware Inc,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,7.0,Belgium,0.0,semiconductor,2015-09-01,$1M,11-50,0.0,5.0,United States,0.0,0
Fortemedia,JML Optical Industries,semiconductor,1996-01-01,$10M to $50M,51-100,0.0,2.0,United States,0.0,semiconductor,1972-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
Silicon Wave,Reveal Design Automation,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
Eblana Photonics,Alereon,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,semiconductor,2003-04-01,$10M to $50M,51-100,0.0,11.0,United States,0.0,0
Tactus Technology,ACME Advanced Materials,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United States,0.0,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,0
Teklatech,TimeSys Corporation,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,2.0,Denmark,0.0,semiconductor,1996-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Hailo,Extoll GmbH.,semiconductor,2017-02-02,$1M to $10M,51-100,0.0,7.0,Israel,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Ateeda,Kyma Technologies,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,3.0,United Kingdom,0.0,semiconductor,1998-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Helyssen,TriLumina Corp,semiconductor,2003-01-01,$1M,01-10,0.0,1.0,Switzerland,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Oryx Vision,Luxcore,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,6.0,Israel,0.0,semiconductor,1999-01-01,$1M to $10M,51-100,0.0,2.0,United States,0.0,0
Surrey NanoSystems,Peraso Technologies,semiconductor,2005-01-01,$50M to $100M,11-50,0.0,4.0,United Kingdom,0.0,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,6.0,Canada,0.0,0
AnDAPT,Lion Semiconductor Inc,semiconductor,2014-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,0
Oryx Vision,BiTMICRO Networks Inc,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,6.0,Israel,0.0,semiconductor,1995-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,0
Coherix,UbiQD,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,semiconductor,2014-02-26,$1M,11-50,0.0,1.0,United States,0.0,0
Dover Microsystems,Scintera Networks,semiconductor,2017-05-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,2001-01-01,$10M to $50M,5001-10000,0.0,6.0,United States,0.0,0
Syndiant,Brolis Semiconductors,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2011-08-09,$1M to $10M,11-50,0.0,1.0,Lithuania,0.0,0
SVXR,Oxford PV,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,semiconductor,2010-01-01,$10M to $50M,51-100,0.0,10.0,United Kingdom,0.0,0
GrAI Matter Labs,Scifiniti,semiconductor,2016-01-01,$1M,11-50,0.0,3.0,France,0.0,semiconductor,2007-01-01,$1M,11-50,0.0,5.0,United States,0.0,0
Intel,NextInput,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,semiconductor,2012-01-01,$1M to $10M,11-50,0.0,11.0,United States,0.0,0
Wave Computing,Semitech Semiconductor,semiconductor,2010-12-12,$10M to $50M,101-500,0.0,4.0,United States,0.0,semiconductor,2010-05-01,$1M to $10M,11-50,0.0,3.0,Australia,0.0,0
NXTSENS Microsystems,SVXR,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,Canada,0.0,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,0
Particle,TeamLinux,semiconductor,2012-11-01,$1M to $10M,101-500,0.0,19.0,United States,0.0,semiconductor,1993-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,0
TimeSys Corporation,ScandiNova,semiconductor,1996-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2001-01-01,$1M,51-100,0.0,1.0,Sweden,0.0,0
BlueShift Technologies,Tempow,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,0
Translarity,Singulus Technologies AG,semiconductor,1999-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,1996-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,0
